// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 03682939
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
54740	89867209	0.288569	-0.300950	9.515519				0.000721	-0.000742	0.023789	1.000000	-0.000215	-0.000000	-0.000140	0.683303	0.009201	-0.011067	0.729993	-0.205450	-1.636443	93.787211	-0.066024	0.997409	0.028557	-0.997817	-0.065949	-0.003584	-0.001692	-0.028732	0.999586
54741	89867234	0.309151	-0.232209	9.505844	0.372895	-0.024420	-0.938459	0.000773	-0.000569	0.023765	1.000000	-0.000249	0.000013	-0.000141	0.683408	0.009023	-0.011239	0.729894	-0.233469	-1.635070	93.771061	-0.065743	0.997428	0.028533	-0.997834	-0.065653	-0.004073	-0.002189	-0.028739	0.999584
54742	89867259	0.324282	-0.160630	9.535911				0.000810	-0.000389	0.023840	1.000000	-0.000275	-0.000010	-0.000192	0.683551	0.008845	-0.011445	0.729759	-0.264397	-1.636325	93.749031	-0.065359	0.997453	0.028555	-0.997858	-0.065254	-0.004613	-0.002738	-0.028796	0.999581
54743	89867284	0.335824	-0.056735	9.545287				0.000840	-0.000129	0.023863	1.000000	-0.000275	0.000012	-0.000197	0.683632	0.008752	-0.011525	0.729683	-0.278197	-1.634894	93.736436	-0.065140	0.997468	0.028530	-0.997872	-0.065028	-0.004853	-0.002986	-0.028786	0.999581
54744	89867309	0.321694	0.055839	9.544867				0.000806	0.000154	0.023862	1.000000	-0.000309	0.000026	-0.000206	0.683786	0.008524	-0.011731	0.729539	-0.312981	-1.632024	93.712764	-0.064728	0.997496	0.028480	-0.997896	-0.064598	-0.005460	-0.003607	-0.028774	0.999579
54745	89867334	0.328562	0.141261	9.551514	0.372793	-0.020485	-0.939356	0.000822	0.000366	0.023879	1.000000	-0.000275	0.000016	-0.000225	0.683953	0.008326	-0.011919	0.729381	-0.343786	-1.630291	93.686958	-0.064279	0.997526	0.028450	-0.997923	-0.064133	-0.005998	-0.004158	-0.028777	0.999577
54746	89867359	0.376815	0.251009	9.539194				0.000944	0.000641	0.023848	1.000000	-0.000287	0.000038	-0.000217	0.684114	0.008105	-0.012100	0.729230	-0.375947	-1.626066	93.662049	-0.063845	0.997556	0.028376	-0.997948	-0.063684	-0.006559	-0.004736	-0.028737	0.999576
54747	89867384	0.368321	0.331732	9.558117				0.000924	0.000842	0.023895	1.000000	-0.000278	0.000054	-0.000199	0.684237	0.007945	-0.012280	0.729113	-0.403159	-1.626882	93.642913	-0.063512	0.997577	0.028391	-0.997967	-0.063337	-0.007034	-0.005218	-0.028780	0.999572
54748	89867409	0.367098	0.400637	9.589440				0.000921	0.001014	0.023973	1.000000	-0.000272	0.000052	-0.000165	0.684360	0.007723	-0.012441	0.728997	-0.433804	-1.621041	93.623971	-0.063183	0.997601	0.028289	-0.997985	-0.062992	-0.007568	-0.005768	-0.028710	0.999571
54749	89867434	0.370605	0.500448	9.612494	0.373205	-0.018528	-0.940297	0.000930	0.001263	0.024030	1.000000	-0.000264	0.000060	-0.000167	0.684485	0.007501	-0.012591	0.728880	-0.463480	-1.614351	93.604761	-0.062848	0.997625	0.028172	-0.998003	-0.062644	-0.008086	-0.006302	-0.028624	0.999570
