// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
16969	11920915	0.110395	0.049805	9.844748	-0.003281	0.012980	-0.009634				-0.305940	-0.490007	29.895012
16973	11920940	0.122805	0.040603	9.838004	-0.011735	0.017574	-0.010745				-0.307608	-0.487498	29.893451
16976	11920965	0.147455	0.034218	9.840936	-0.012055	-0.004108	-0.009927	0.284215	-0.255270	-0.955264	-0.309322	-0.488094	29.892025
16980	11920990	0.133842	0.038214	9.850431	-0.005893	0.000952	-0.010447				-0.310154	-0.487966	29.890529
16983	11921015	0.124440	0.037787	9.820190	-0.009301	0.006612	-0.016157				-0.309084	-0.488815	29.890398
16987	11921040	0.140486	0.039783	9.840876	0.005658	0.001270	-0.002186				-0.308271	-0.488635	29.890080
16990	11921065	0.105341	0.048139	9.829633	-0.021572	0.006682	-0.008917	0.283728	-0.254769	-0.955255	-0.311350	-0.487685	29.888786
16994	11921090	0.121679	0.049907	9.824252	-0.010097	-0.003546	-0.010420				-0.312784	-0.488201	29.887310
16997	11921115	0.128675	0.023162	9.828504	0.000219	0.005993	-0.019011				-0.309190	-0.488433	29.884566
17001	11921140	0.135174	0.035444	9.838101	-0.000189	0.007434	0.011575				-0.309231	-0.487359	29.886218
17004	11921165	0.126004	0.027053	9.839442	-0.024268	-0.012587	0.002436	0.282805	-0.255735	-0.954788	-0.312711	-0.489160	29.886574
17008	11921190	0.135386	0.039480	9.831235	-0.003260	-0.008750	-0.000498				-0.313177	-0.490414	29.886516
17011	11921215	0.121564	0.051314	9.822881	-0.009428	0.012521	-0.017047				-0.312538	-0.489616	29.882648
17015	11921240	0.133702	0.048760	9.827086	-0.008735	0.003795	0.006928				-0.313797	-0.489066	29.883643
17018	11921265	0.123939	0.064733	9.839299	-0.012332	0.004956	-0.004262	0.282805	-0.255735	-0.954788	-0.315559	-0.488360	29.883032
17022	11921290	0.128613	0.035357	9.827098	-0.001605	-0.010568	0.008889				-0.315799	-0.489867	29.884316
17025	11921315	0.139261	0.051671	9.828488	-0.004299	-0.004441	-0.012043				-0.313689	-0.491979	29.881232
17029	11921340	0.148655	0.054421	9.818941	-0.005303	-0.001261	-0.002733				-0.314445	-0.492162	29.880840
17032	11921365	0.132546	0.040795	9.820242	-0.000027	0.006148	-0.006342	0.283737	-0.255262	-0.955267	-0.314441	-0.491286	29.879917
17036	11921390	0.128816	0.029969	9.824360	-0.001810	0.000355	0.009459				-0.314712	-0.491228	29.881276
