// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
40649	13447858	0.036172	0.043216	9.823447	0.002080	0.002998	0.003609	0.269055	-0.254082	-0.966695	-0.468733	0.088229	65.912044
40653	13447883	0.055357	0.025918	9.823633	-0.008976	0.001571	-0.010538				-0.470021	0.088442	65.910535
40656	13447908	0.050674	0.030334	9.863366	0.012231	0.019208	0.016056				-0.465919	0.087797	65.913832
40660	13447933	0.051131	0.035445	9.841400	-0.008030	-0.002950	0.011745				-0.467067	0.087388	65.915519
40663	13447958	0.044908	0.019161	9.812616	0.011110	-0.006649	0.000647	0.269981	-0.254103	-0.967681	-0.465475	0.086437	65.915624
40667	13447983	0.041969	0.006830	9.830469	-0.004865	0.005023	0.003451				-0.466171	0.087160	65.916118
40670	13448008	0.070331	0.012865	9.832003	-0.005494	0.008097	0.000490				-0.464248	0.085884	65.914123
40674	13448033	0.074402	0.014298	9.816946	0.007486	0.008343	0.000501				-0.463176	0.087080	65.914177
40677	13448058	0.041956	0.020270	9.822180	-0.015318	0.005330	0.008935	0.269503	-0.254095	-0.967683	-0.465368	0.087854	65.915452
40681	13448083	0.032130	0.040406	9.828919	-0.004861	-0.003797	-0.005993				-0.466066	0.087303	65.914607
40684	13448108	0.045766	0.024362	9.844149	-0.019042	-0.005120	0.008449				-0.465489	0.085927	65.917167
40688	13448133	0.063500	0.024892	9.825068	-0.001839	0.000155	0.008886				-0.465751	0.085959	65.918440
40691	13448158	0.045959	0.004503	9.835984	0.004527	0.012681	0.010683	0.269990	-0.254595	-0.967692	-0.465100	0.087788	65.919966
40695	13448183	0.037776	0.023071	9.846830	-0.004220	-0.007682	-0.001813				-0.465705	0.086686	65.919706
40698	13448208	0.044514	0.024548	9.816702	0.000058	0.011078	-0.013445				-0.462492	0.086881	65.917146
40702	13448233	0.034475	0.058157	9.823386	0.020343	0.010571	-0.018650				-0.459582	0.088374	65.914463
40705	13448258	0.047080	0.019118	9.838682	-0.011241	-0.000158	0.007385	0.268557	-0.254570	-0.967699	-0.461191	0.088360	65.915519
40709	13448283	0.049730	0.025738	9.812626	-0.006591	0.022264	-0.009282				-0.462137	0.091538	65.914174
40712	13448308	0.067742	0.020530	9.831955	-0.024562	-0.001714	0.010423				-0.462010	0.085098	65.916753
40716	13448333	0.061595	0.055702	9.846902	-0.009859	-0.009416	0.002447				-0.463422	0.083752	65.917114
40719	13448358	0.044266	0.027352	9.840014	0.005530	0.011216	-0.002943	0.269489	-0.254097	-0.968178	-0.462631	0.085355	65.916675
40723	13448383	0.037450	0.039133	9.827579	-0.010017	0.001502	0.013807				-0.464063	0.085586	65.918663
40726	13448408	0.035245	0.012372	9.842740	0.001420	-0.012870	0.010584				-0.460069	0.084774	65.916802
40730	13448433	0.049799	0.024784	9.834578	0.008723	0.011413	-0.004363				-0.458821	0.086404	65.916164
40733	13448458	0.060449	0.042277	9.819503	0.000042	0.008640	0.010182	0.269494	-0.253602	-0.967671	-0.458813	0.087653	65.917614
40737	13448483	0.037559	0.029976	9.824878	0.017509	0.010371	0.003643				-0.456304	0.089143	65.918126
40740	13448508	0.052582	0.031302	9.830457	-0.011110	-0.009330	0.024995				-0.458529	0.084648	65.923179
40744	13448533	0.065486	0.042406	9.829138	0.006454	0.029188	0.001432				-0.457604	0.088831	65.923361
