// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
11046	15125445	0.070916	-0.054147	9.895150	0.002179	-0.006583	-0.021109				-1.072762	-0.081156	35.726750
11050	15125470	0.089883	-0.028499	9.833481	0.003126	0.005190	-0.018533	0.264087	-0.264157	-1.028803	-1.072310	-0.080463	35.724086
11053	15125495	0.107832	-0.039102	9.813072	0.002794	0.008240	-0.004514				-1.071909	-0.079295	35.723417
11057	15125520	0.099876	-0.055394	9.825408	-0.005834	0.000477	-0.012895				-1.069463	-0.084693	35.720952
11060	15125545	0.087465	-0.050049	9.839012	0.001684	0.007004	-0.007395				-1.069220	-0.083709	35.719875
11064	15125570	0.081093	-0.049049	9.818396	-0.010589	-0.009815	0.014064	0.262228	-0.264610	-1.027339	-1.070740	-0.085077	35.721920
11067	15125595	0.081767	-0.025854	9.838896	0.008844	-0.004002	0.030978				-1.069480	-0.085568	35.726366
11071	15125620	0.082023	-0.042317	9.827993	-0.012510	-0.000769	-0.000320				-1.068668	-0.086059	35.721135
11074	15125645	0.086068	-0.052872	9.830793	-0.000893	0.010988	-0.005314				-1.068795	-0.084500	35.720344
11078	15125670	0.072307	-0.054412	9.852648	-0.007585	0.009061	0.018269	0.262757	-0.266585	-1.026888	-1.069885	-0.083153	35.722935
11081	15125695	0.091150	-0.028699	9.818407	-0.011107	0.016220	-0.021583				-1.071472	-0.080888	35.719804
11085	15125720	0.076891	-0.052991	9.829354	-0.000957	-0.002769	0.012513				-1.065302	-0.086046	35.729170
11088	15125745	0.069773	-0.039784	9.810072	0.002261	0.001004	-0.003693				-1.064977	-0.085912	35.728634
11092	15125770	0.103875	-0.042020	9.804821	-0.011128	0.005035	0.002347	0.262270	-0.266085	-1.026879	-1.066572	-0.085185	35.728957
11095	15125795	0.088803	-0.047499	9.823944	-0.003396	0.005203	-0.001726				-1.067058	-0.084444	35.728699
11099	15125820	0.097000	-0.044857	9.815757	-0.016680	0.000276	0.000708				-1.067082	-0.084918	35.725919
11102	15125845	0.086181	-0.040737	9.843102	-0.013250	-0.010356	-0.002894				-1.068980	-0.086409	35.725534
11106	15125870	0.093054	-0.053892	9.837698	0.013937	-0.009929	0.003606	0.262734	-0.266095	-1.027372	-1.066984	-0.087821	35.726081
11109	15125895	0.083686	-0.066387	9.839046	-0.004305	0.004537	0.002848				-1.067601	-0.087164	35.726468
11113	15125920	0.084821	-0.047510	9.836254	-0.003907	-0.008814	-0.009392				-1.064561	-0.090408	35.724490
11116	15125945	0.089057	-0.056873	9.830824	-0.006391	-0.006187	0.009736				-1.065479	-0.091268	35.725906
11120	15125970	0.079210	-0.050199	9.840330	0.000423	0.012070	-0.005664	0.263197	-0.266106	-1.027864	-1.065417	-0.089554	35.725066
11123	15125995	0.091473	-0.044695	9.834905	0.001861	0.003693	0.007446				-1.065152	-0.089006	35.726117
11127	15126020	0.081988	-0.048979	9.819775	0.003922	0.024393	0.012797				-1.062008	-0.087410	35.727226
11130	15126045	0.080407	-0.044619	9.860896	0.006208	-0.004059	-0.012676				-1.061116	-0.088025	35.725420
11134	15126070	0.077873	-0.055401	9.845829	0.020492	0.015454	0.010258	0.264149	-0.265135	-1.027342	-1.058183	-0.085784	35.726853
11137	15126095	0.074954	-0.043218	9.845769	0.024204	0.013541	-0.006266				-1.054715	-0.083862	35.725913
11141	15126120	0.112995	-0.038751	9.835046	0.007765	0.015317	-0.033483				-1.053331	-0.085171	35.723073
11144	15126145	0.075331	-0.073135	9.847244	-0.003967	0.013989	-0.010009				-1.053897	-0.083193	35.721601
11148	15126170	0.098528	-0.052852	9.818530	-0.014466	0.008249	-0.013478	0.262711	-0.264123	-1.026831	-1.055966	-0.082048	35.719643
11151	15126195	0.099569	-0.033688	9.832190	0.004771	-0.008662	-0.011916				-1.055281	-0.083320	35.717966
11155	15126220	0.090575	-0.063705	9.830863	-0.012681	-0.015667	-0.011736				-1.050843	-0.084440	35.717027
11158	15126245	0.086004	-0.058511	9.851382	-0.021264	0.007074	-0.011638				-1.053886	-0.083457	35.715346
11162	15126270	0.088691	-0.042008	9.832135	0.000758	0.011414	-0.001171	0.263179	-0.265121	-1.027841	-1.053777	-0.081826	35.715144
11165	15126295	0.086047	-0.046126	9.836250	-0.001995	-0.001235	-0.014128				-1.054060	-0.082040	35.713123
11169	15126320	0.101173	-0.054035	9.832275	-0.000189	-0.002410	-0.003798				-1.049647	-0.085493	35.712921
11172	15126345	0.098334	-0.040655	9.826724	-0.012809	0.001523	0.000754				-1.051482	-0.085273	35.713023
11176	15126370	0.079785	-0.074554	9.828079	-0.003195	0.003253	-0.004540	0.262763	-0.266091	-1.026382	-1.051939	-0.084819	35.712366
11179	15126395	0.071351	-0.054547	9.829319	-0.005029	0.003745	-0.008287				-1.052657	-0.084305	35.711164
11183	15126420	0.075200	-0.041164	9.823828	-0.017904	0.005402	0.013036				-1.051317	-0.086267	35.712196
11186	15126445	0.065908	-0.053246	9.834761	-0.002284	0.001602	-0.008433				-1.051643	-0.086060	35.710988
11190	15126470	0.087673	-0.071623	9.837720	0.003728	0.012146	-0.007890	0.262281	-0.265095	-1.025866	-1.051107	-0.084341	35.709827
11193	15126495	0.097177	-0.048509	9.819879	0.010967	0.002199	0.014848				-1.049539	-0.083987	35.711947
11197	15126520	0.102406	-0.056572	9.832289	0.001624	0.003691	-0.002618				-1.048121	-0.085346	35.708236
11200	15126545	0.061692	-0.049353	9.848443	-0.013694	-0.006695	0.020701				-1.050087	-0.086251	35.711216
11204	15126570	0.101187	-0.067379	9.829577	-0.003703	0.009574	0.002892	0.262706	-0.264618	-1.027337	-1.050618	-0.084872	35.711613
11207	15126595	0.086558	-0.062644	9.822591	-0.017895	-0.004667	0.007240				-1.053183	-0.085521	35.712664
11211	15126620	0.077809	-0.048852	9.845807	-0.001557	0.010690	-0.013767				-1.045798	-0.085065	35.711722
11214	15126645	0.072442	-0.038373	9.830654	-0.001214	0.000553	-0.003339				-1.045971	-0.084995	35.711240
11218	15126670	0.079216	-0.052906	9.843084	-0.000845	0.013313	-0.010960	0.263188	-0.265613	-1.027853	-1.046090	-0.083117	35.709642
11221	15126695	0.093081	-0.047622	9.810250	-0.009258	0.002275	0.012679				-1.047419	-0.082758	35.711446
11225	15126720	0.125797	-0.051138	9.814605	-0.014515	-0.006574	-0.005308				-1.047260	-0.086763	35.709930
11228	15126745	0.090328	-0.060784	9.836329	-0.002798	0.006272	-0.016828				-1.047657	-0.085909	35.707497
11232	15126770	0.101243	-0.061921	9.829547	0.008887	0.003085	-0.019085	0.263633	-0.264639	-1.028322	-1.046380	-0.085517	35.704763
11235	15126795	0.102363	-0.049953	9.822674	-0.005813	0.003020	-0.004721				-1.047212	-0.085097	35.704082
11239	15126820	0.106073	-0.037588	9.824022	0.011176	0.028199	-0.016636				-1.042631	-0.083206	35.704120
11242	15126845	0.107855	-0.047197	9.828185	-0.005890	-0.001949	-0.000075				-1.043475	-0.083486	35.704119
11246	15126870	0.088780	-0.033927	9.841719	-0.009499	-0.011796	-0.005591	0.264601	-0.266135	-1.028847	-1.044834	-0.085190	35.703350
11249	15126895	0.089033	-0.049915	9.832172	0.015087	-0.013332	-0.013299				-1.042670	-0.087134	35.701478
11253	15126920	0.106796	-0.070163	9.822751	-0.004753	0.007215	-0.004934				-1.042871	-0.085794	35.701953
11256	15126945	0.077718	-0.035648	9.821078	-0.016204	0.022605	0.001365				-1.045192	-0.082553	35.702089
11260	15126970	0.083418	-0.041204	9.818390	-0.019410	-0.005898	-0.000671	0.263224	-0.267583	-1.027899	-1.047972	-0.083399	35.701998
11263	15126995	0.090314	-0.048686	9.815724	-0.000516	0.004797	0.001949				-1.048046	-0.082707	35.702268
11267	15127020	0.083282	-0.040696	9.852670	0.002339	-0.004758	0.010960				-1.042000	-0.088041	35.701757
11270	15127045	0.102322	-0.051241	9.844613	-0.002418	0.002013	-0.004931				-1.042345	-0.087766	35.701041
11274	15127070	0.104780	-0.025503	9.848647	0.007972	-0.004612	-0.008793	0.262290	-0.265588	-1.025878	-1.041201	-0.088449	35.699799
11277	15127095	0.101042	-0.036448	9.845932	-0.004087	-0.018173	0.001849				-1.041787	-0.091047	35.700110
11281	15127120	0.088717	-0.038105	9.844479	-0.013712	-0.008687	-0.019474				-1.039757	-0.091098	35.697312
11284	15127145	0.093916	-0.043338	9.847271	-0.007632	0.005522	-0.015260				-1.040847	-0.090347	35.695107
11288	15127170	0.083411	-0.043396	9.838974	-0.001071	0.001436	0.004984	0.263260	-0.265602	-1.025378	-1.041002	-0.090128	35.695816
11291	15127195	0.106011	-0.022885	9.828093	-0.005370	0.004464	-0.013459				-1.041768	-0.089524	35.693884
11295	15127220	0.077824	-0.030119	9.808722	0.003500	0.011288	-0.013867				-1.037603	-0.093192	35.694094
11298	15127245	0.079284	-0.035698	9.829322	-0.015052	-0.009125	0.002135				-1.039759	-0.094494	35.694423
11302	15127270	0.090091	-0.040714	9.823918	-0.002185	-0.000785	-0.033717	0.263735	-0.268574	-1.027425	-1.040064	-0.094694	35.689595
11305	15127295	0.111957	-0.037983	9.808978	-0.019547	-0.006624	0.002962				-1.042865	-0.095635	35.690029
11309	15127320	0.061669	-0.043780	9.807281	0.013071	0.015974	-0.007088				-1.035475	-0.093866	35.686590
11312	15127345	0.099854	-0.047334	9.817147	0.002395	-0.000438	0.004642				-1.035133	-0.093917	35.687257
11316	15127370	0.079271	-0.044928	9.833461	-0.002724	-0.000991	-0.018685	0.263235	-0.266594	-1.026886	-1.035519	-0.094107	35.684581
11319	15127395	0.101182	-0.048704	9.824030	-0.011371	-0.001505	-0.014199				-1.037144	-0.094360	35.682549
11323	15127420	0.107927	-0.048434	9.811726	0.005816	0.006551	-0.003922				-1.034003	-0.096167	35.684442
11326	15127445	0.084688	-0.022252	9.804624	-0.012489	-0.002266	-0.002863				-1.035792	-0.096499	35.684051
11330	15127470	0.109490	-0.043177	9.826805	-0.018199	-0.029196	-0.001660	0.264187	-0.265623	-1.026363	-1.038398	-0.100685	35.683884
11333	15127495	0.069591	-0.051678	9.827946	0.008146	0.017907	-0.007667				-1.037229	-0.098140	35.682737
11337	15127520	0.084406	-0.042240	9.836231	-0.012615	0.028160	-0.008731				-1.038344	-0.098975	35.680534
11340	15127545	0.085864	-0.046131	9.841743	-0.012402	0.020163	0.009874				-1.040123	-0.096062	35.681897
11344	15127570	0.063814	-0.033046	9.845654	-0.005190	0.024179	-0.010306	0.264172	-0.265625	-1.026858	-1.040863	-0.092626	35.680354
11347	15127595	0.077328	-0.035251	9.853993	0.007617	0.022189	-0.012313				-1.039770	-0.089480	35.678541
11351	15127620	0.091204	-0.039393	9.844501	-0.010672	0.013216	0.001107				-1.037738	-0.090233	35.679347
11354	15127645	0.074974	-0.046318	9.862232	-0.008853	0.004692	0.006352				-1.039007	-0.089544	35.680243
11358	15127670	0.085981	-0.047634	9.840376	-0.016332	0.010948	-0.019120	0.263159	-0.265618	-1.028842	-1.041342	-0.088026	35.677471
11361	15127695	0.102079	-0.053828	9.839137	0.002818	0.027670	-0.010617				-1.040936	-0.084091	35.675880
11365	15127720	0.088991	-0.044735	9.828040	0.001104	-0.010951	-0.002974				-1.036602	-0.088503	35.675222
11368	15127745	0.098478	-0.040910	9.806158	-0.024697	-0.007258	0.000776				-1.040140	-0.089541	35.675355
11372	15127770	0.075099	-0.043611	9.845776	-0.007385	0.006628	0.006811	0.262743	-0.266588	-1.027383	-1.041199	-0.088574	35.676314
11375	15127795	0.079401	-0.046561	9.826612	-0.017250	0.004113	-0.014059				-1.043666	-0.088021	35.674291
11379	15127820	0.084721	-0.047541	9.836250	-0.012659	0.008056	-0.006923				-1.039117	-0.085550	35.673720
11382	15127845	0.098298	-0.047077	9.833606	0.003527	0.003500	-0.006248				-1.038610	-0.085065	35.672817
11386	15127870	0.094034	-0.043438	9.823953	-0.004168	0.019632	-0.011225	0.263253	-0.267578	-1.026909	-1.039204	-0.082283	35.671161
11389	15127895	0.095566	-0.043247	9.830819	0.001217	-0.004159	-0.010033				-1.039028	-0.082905	35.669732
11393	15127920	0.076425	-0.039583	9.837543	-0.005242	-0.002694	0.007832				-1.038935	-0.084144	35.670240
11396	15127945	0.095717	-0.051433	9.823995	-0.005227	-0.002047	-0.011690				-1.039682	-0.084468	35.668582
11400	15127970	0.088557	-0.049127	9.832165	-0.029555	0.026806	0.005452	0.263240	-0.266099	-1.026380	-1.043916	-0.080614	35.669291
11403	15127995	0.106405	-0.044821	9.828164	-0.022733	0.014374	0.000432				-1.047172	-0.078555	35.669314
11407	15128020	0.094462	-0.039391	9.804752	-0.006214	-0.009778	0.005452				-1.041140	-0.084670	35.668640
11410	15128045	0.079433	-0.042443	9.811519	-0.011900	0.001584	-0.007643				-1.042843	-0.084463	35.667540
11414	15128070	0.079669	-0.053050	9.810169	-0.002369	0.007577	-0.015159	0.263284	-0.266092	-1.024895	-1.043180	-0.083418	35.665350
11417	15128095	0.111159	-0.052509	9.826843	-0.010301	-0.042067	0.003108				-1.044656	-0.089434	35.665907
11421	15128120	0.089299	-0.059774	9.808901	-0.012952	-0.007768	0.001588				-1.044800	-0.084516	35.665625
11424	15128145	0.104321	-0.055424	9.815836	-0.010900	-0.019425	-0.006160				-1.046360	-0.087314	35.664794
11428	15128170	0.110542	-0.042827	9.822697	0.006507	-0.001910	0.000133	0.263311	-0.267569	-1.024930	-1.045428	-0.087587	35.664822
11431	15128195	0.086009	-0.039289	9.822509	0.012428	0.009504	-0.004709				-1.043647	-0.086238	35.664125
11435	15128220	0.098430	-0.063457	9.824059	-0.005583	0.018449	0.006093				-1.044213	-0.092997	35.666211
11438	15128245	0.102303	-0.051284	9.837753	0.001301	0.002585	-0.013945				-1.044023	-0.092663	35.664205
11442	15128270	0.113425	-0.056759	9.828249	-0.025180	0.001837	-0.005949	0.263732	-0.266105	-1.025882	-1.047629	-0.092415	35.663350
11445	15128295	0.078155	-0.055769	9.840343	-0.007612	-0.007853	0.004242				-1.048720	-0.093529	35.663976
11449	15128320	0.080667	-0.053008	9.832136	-0.006035	0.026123	-0.018215				-1.043215	-0.089424	35.659955
11452	15128345	0.074971	-0.037028	9.840268	-0.015986	0.008804	-0.021668				-1.045500	-0.088220	35.656831
11456	15128370	0.086106	-0.050134	9.829414	-0.001958	0.002848	0.002705	0.264193	-0.263647	-1.024832	-1.045781	-0.087805	35.657203
11459	15128395	0.085483	-0.067629	9.819862	0.005344	-0.021583	0.008921				-1.045018	-0.090873	35.658543
11463	15128420	0.095761	-0.054186	9.830865	-0.014688	-0.004420	0.007088				-1.045483	-0.091585	35.658844
11466	15128445	0.075395	-0.055789	9.836221	-0.004101	0.000446	-0.003187				-1.046070	-0.091530	35.658394
11470	15128470	0.102485	-0.055196	9.845993	-0.007991	-0.005662	0.008272	0.264259	-0.265612	-1.023889	-1.047217	-0.092319	35.659588
11473	15128495	0.105186	-0.055545	9.830934	-0.015044	0.008190	-0.004485				-1.049371	-0.091158	35.658929
11477	15128520	0.064124	-0.040932	9.845688	0.001955	0.009079	0.012177				-1.042683	-0.096107	35.662642
11480	15128545	0.075514	-0.053354	9.814260	-0.013824	0.002062	0.014171				-1.044667	-0.095775	35.664667
11484	15128570	0.057604	-0.043845	9.840166	0.001165	-0.005855	-0.012386	0.262400	-0.266064	-1.022425	-1.044497	-0.096646	35.662914
11487	15128595	0.076378	-0.028897	9.837506	-0.008063	-0.008245	-0.007029				-1.045650	-0.097845	35.661927
11491	15128620	0.090358	-0.051315	9.825331	0.002261	0.000893	-0.010930				-1.042828	-0.097436	35.660682
11494	15128645	0.077545	-0.033986	9.834783	-0.000121	0.021067	0.014971				-1.042850	-0.094380	35.662773
11498	15128670	0.073925	-0.023538	9.816900	0.001171	-0.020057	-0.005636	0.263332	-0.265591	-1.022904	-1.042681	-0.097267	35.662026
11501	15128695	0.078113	-0.039511	9.815609	0.001992	0.001635	0.003555				-1.042396	-0.097024	35.662527
11505	15128720	0.075245	-0.033156	9.812823	-0.013182	-0.006014	-0.020231				-1.042219	-0.101431	35.658119
11508	15128745	0.067172	-0.041159	9.810050	-0.000051	0.006406	0.006096				-1.042228	-0.100498	35.658979
11512	15128770	0.076685	-0.050350	9.833471	-0.010961	0.001292	0.005506	0.264306	-0.266592	-1.022922	-1.043799	-0.100299	35.659764
11515	15128795	0.087512	-0.051543	9.836276	-0.001827	0.004825	-0.001661				-1.044061	-0.099612	35.659516
11519	15128820	0.099897	-0.051187	9.830885	0.013766	-0.013386	0.013748				-1.038048	-0.103987	35.662266
11522	15128845	0.072748	-0.051781	9.832068	-0.007226	-0.012812	-0.011174				-1.039080	-0.105851	35.660696
11526	15128870	0.101348	-0.051267	9.829518	0.000079	-0.013469	0.010532	0.263814	-0.266586	-1.023420	-1.039072	-0.107753	35.662235
11529	15128895	0.095698	-0.053998	9.836340	0.003693	0.000197	-0.011200				-1.038540	-0.107753	35.660635
11533	15128920	0.109252	-0.049985	9.826827	-0.012749	0.007620	0.010870				-1.037663	-0.107997	35.663513
11536	15128945	0.098581	-0.046090	9.813024	-0.010982	-0.015774	-0.012146				-1.039232	-0.110288	35.661814
